time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,social_worker_fte,leaver_fte,turnover_rate_fte_%,working_days_lost_fte,absence_rate_fte_%,agency_fte,agency_worker_rate_fte_%,agency_cover_fte,agency_cover_rate_fte_%,vacancy_fte,vacancy_rate_fte_%,vacancy_agency_cover_rate_fte_%,case_holders_fte,cases,caseload_fte,social_worker_headcount,leaver_headcount,turnover_rate_headcount_%,agency_headcount,agency_worker_rate_headcount_%
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,239.1,47.5,19.9,1909,3.2,17.4,6.8,17.4,100,19.8,7.6,87.9,133.4,2139,16,253,55,21.7,18,6.6
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,399.2,46.2,11.6,4333.4,4.3,64.2,13.9,44.1,68.7,44.1,9.9,100,249.2,3905,15.7,439,54,12.3,69,13.6
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,254.9,40,15.7,1950.8,3,42.3,14.2,40,94.7,40,13.6,100,165.7,2491,15,272,48,17.6,45,14.2
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,100.9,18.5,18.3,1440,5.6,28.3,21.9,19.3,68.2,19.3,16.1,100,81,1306,16.1,117,23,19.7,29,19.9
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,152,23.1,15.2,1585.4,4.1,21,12.1,5,23.8,5,3.2,100,124.4,2276,18.3,168,31,18.5,21,11.1
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,424.8,72.1,17,2220.9,2.1,32.5,7.1,32.5,100,45.2,9.6,71.9,292.5,5121,17.5,470,84,17.9,33,6.6
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,163.9,21.4,13.1,1230,3,43,20.8,17,39.5,17,9.4,100,95,1620,17.1,179,25,14,43,19.4
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,286.3,32.1,11.2,3121.2,4.3,56,16.4,35.5,63.4,35.5,11,100,207.7,2982,14.4,313,43,13.7,56,15.2
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,303.9,51.7,17,2487.5,3.2,34.7,10.2,27.9,80.3,30,9,92.9,168.9,2834,16.8,316,54,17.1,37,10.5
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,329.9,53.5,16.2,2106.7,2.5,116,26,116,100,216,39.6,53.7,222.5,3890,17.5,355,59,16.6,117,24.8
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,267.5,30.4,11.4,1518.8,2.2,23.9,8.2,19.5,81.6,19.5,6.8,100,150.6,2310,15.3,287,33,11.5,25,8
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,471.4,60.2,12.8,4834,4.1,78.3,14.2,17,21.7,17,3.5,100,307.9,4482,14.6,539,79,14.7,79,12.8
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,21.7,10.8,49.8,1,0,0,0,0,0,1,4.4,0,8.9,75,8.4,23,12,52.2,0,0
