2023 Upper tier local authorities Code,2023 Upper tier local authorities,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E06000006,Halton,5,"Asian, Asian British or Asian Welsh: Other Asian",460
E06000006,Halton,6,"Black, Black British, Black Welsh, Caribbean or African: African",293
E06000006,Halton,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",84
E06000006,Halton,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",134
E06000006,Halton,9,Mixed or Multiple ethnic groups: White and Asian,461
E06000006,Halton,10,Mixed or Multiple ethnic groups: White and Black African,342
E06000006,Halton,11,Mixed or Multiple ethnic groups: White and Black Caribbean,530
E06000006,Halton,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,458
E06000006,Halton,13,"White: English, Welsh, Scottish, Northern Irish or British",120301
E06000006,Halton,14,White: Irish,685
E06000006,Halton,15,White: Gypsy or Irish Traveller,91
E06000006,Halton,16,White: Roma,68
E06000006,Halton,17,White: Other White,2831
E06000006,Halton,18,Other ethnic group: Arab,241
E06000006,Halton,19,Other ethnic group: Any other ethnic group,523
E06000007,Warrington,-8,Does not apply,0
E06000007,Warrington,1,"Asian, Asian British or Asian Welsh: Bangladeshi",197
E06000007,Warrington,2,"Asian, Asian British or Asian Welsh: Chinese",1326
E06000007,Warrington,3,"Asian, Asian British or Asian Welsh: Indian",2347
E06000007,Warrington,4,"Asian, Asian British or Asian Welsh: Pakistani",1760
E06000007,Warrington,5,"Asian, Asian British or Asian Welsh: Other Asian",1324
E06000007,Warrington,6,"Black, Black British, Black Welsh, Caribbean or African: African",1075
E06000007,Warrington,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",277
E06000007,Warrington,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",224
E06000007,Warrington,9,Mixed or Multiple ethnic groups: White and Asian,1204
E06000007,Warrington,10,Mixed or Multiple ethnic groups: White and Black African,593
E06000007,Warrington,11,Mixed or Multiple ethnic groups: White and Black Caribbean,785
E06000007,Warrington,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,753
E06000007,Warrington,13,"White: English, Welsh, Scottish, Northern Irish or British",185940
E06000007,Warrington,14,White: Irish,1366
E06000007,Warrington,15,White: Gypsy or Irish Traveller,115
E06000007,Warrington,16,White: Roma,167
E06000007,Warrington,17,White: Other White,9717
E06000007,Warrington,18,Other ethnic group: Arab,393
E06000007,Warrington,19,Other ethnic group: Any other ethnic group,1410
E06000008,Blackburn with Darwen,-8,Does not apply,0
E06000008,Blackburn with Darwen,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1473
E06000008,Blackburn with Darwen,2,"Asian, Asian British or Asian Welsh: Chinese",400
E06000008,Blackburn with Darwen,3,"Asian, Asian British or Asian Welsh: Indian",24389
E06000008,Blackburn with Darwen,4,"Asian, Asian British or Asian Welsh: Pakistani",27525
E06000008,Blackburn with Darwen,5,"Asian, Asian British or Asian Welsh: Other Asian",1391
E06000008,Blackburn with Darwen,6,"Black, Black British, Black Welsh, Caribbean or African: African",1061
E06000008,Blackburn with Darwen,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",170
E06000008,Blackburn with Darwen,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",175
E06000008,Blackburn with Darwen,9,Mixed or Multiple ethnic groups: White and Asian,1329
E06000008,Blackburn with Darwen,10,Mixed or Multiple ethnic groups: White and Black African,231
E06000008,Blackburn with Darwen,11,Mixed or Multiple ethnic groups: White and Black Caribbean,368
E06000008,Blackburn with Darwen,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,668
E06000008,Blackburn with Darwen,13,"White: English, Welsh, Scottish, Northern Irish or British",87997
E06000008,Blackburn with Darwen,14,White: Irish,589
E06000008,Blackburn with Darwen,15,White: Gypsy or Irish Traveller,101
E06000008,Blackburn with Darwen,16,White: Roma,143
E06000008,Blackburn with Darwen,17,White: Other White,4562
E06000008,Blackburn with Darwen,18,Other ethnic group: Arab,841
E06000008,Blackburn with Darwen,19,Other ethnic group: Any other ethnic group,1328
E06000009,Blackpool,-8,Does not apply,0
E06000009,Blackpool,1,"Asian, Asian British or Asian Welsh: Bangladeshi",442
E06000009,Blackpool,2,"Asian, Asian British or Asian Welsh: Chinese",542
E06000009,Blackpool,3,"Asian, Asian British or Asian Welsh: Indian",892
E06000009,Blackpool,4,"Asian, Asian British or Asian Welsh: Pakistani",572
E06000009,Blackpool,5,"Asian, Asian British or Asian Welsh: Other Asian",1228
E06000009,Blackpool,6,"Black, Black British, Black Welsh, Caribbean or African: African",449
E06000009,Blackpool,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",175
E06000009,Blackpool,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",87
E06000009,Blackpool,9,Mixed or Multiple ethnic groups: White and Asian,645
E06000009,Blackpool,10,Mixed or Multiple ethnic groups: White and Black African,408
E06000009,Blackpool,11,Mixed or Multiple ethnic groups: White and Black Caribbean,638
E06000009,Blackpool,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,519
E06000009,Blackpool,13,"White: English, Welsh, Scottish, Northern Irish or British",127445
E06000009,Blackpool,14,White: Irish,808
E06000009,Blackpool,15,White: Gypsy or Irish Traveller,236
E06000009,Blackpool,16,White: Roma,207
E06000009,Blackpool,17,White: Other White,4854
E06000009,Blackpool,18,Other ethnic group: Arab,216
E06000009,Blackpool,19,Other ethnic group: Any other ethnic group,676
E06000010,Kingston upon Hull,-8,Does not apply,0
E06000010,Kingston upon Hull,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1279
E06000010,Kingston upon Hull,2,"Asian, Asian British or Asian Welsh: Chinese",1234
E06000010,Kingston upon Hull,3,"Asian, Asian British or Asian Welsh: Indian",1259
E06000010,Kingston upon Hull,4,"Asian, Asian British or Asian Welsh: Pakistani",1292
E06000010,Kingston upon Hull,5,"Asian, Asian British or Asian Welsh: Other Asian",2451
E06000010,Kingston upon Hull,6,"Black, Black British, Black Welsh, Caribbean or African: African",4292
E06000010,Kingston upon Hull,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",232
E06000010,Kingston upon Hull,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",541
E06000010,Kingston upon Hull,9,Mixed or Multiple ethnic groups: White and Asian,1172
E06000010,Kingston upon Hull,10,Mixed or Multiple ethnic groups: White and Black African,1144
E06000010,Kingston upon Hull,11,Mixed or Multiple ethnic groups: White and Black Caribbean,948
E06000010,Kingston upon Hull,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1249
E06000010,Kingston upon Hull,13,"White: English, Welsh, Scottish, Northern Irish or British",223962
E06000010,Kingston upon Hull,14,White: Irish,455
E06000010,Kingston upon Hull,15,White: Gypsy or Irish Traveller,451
E06000010,Kingston upon Hull,16,White: Roma,286
E06000010,Kingston upon Hull,17,White: Other White,19835
E06000010,Kingston upon Hull,18,Other ethnic group: Arab,1443
E06000010,Kingston upon Hull,19,Other ethnic group: Any other ethnic group,3488
E06000011,East Riding of Yorkshire,-8,Does not apply,0
E06000011,East Riding of Yorkshire,1,"Asian, Asian British or Asian Welsh: Bangladeshi",129
E06000011,East Riding of Yorkshire,2,"Asian, Asian British or Asian Welsh: Chinese",766
E06000011,East Riding of Yorkshire,3,"Asian, Asian British or Asian Welsh: Indian",1210
E06000011,East Riding of Yorkshire,4,"Asian, Asian British or Asian Welsh: Pakistani",528
E06000011,East Riding of Yorkshire,5,"Asian, Asian British or Asian Welsh: Other Asian",1053
E06000011,East Riding of Yorkshire,6,"Black, Black British, Black Welsh, Caribbean or African: African",617
E06000011,East Riding of Yorkshire,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",173
E06000011,East Riding of Yorkshire,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",104
E06000011,East Riding of Yorkshire,9,Mixed or Multiple ethnic groups: White and Asian,1092
E06000011,East Riding of Yorkshire,10,Mixed or Multiple ethnic groups: White and Black African,547
E06000011,East Riding of Yorkshire,11,Mixed or Multiple ethnic groups: White and Black Caribbean,707
E06000011,East Riding of Yorkshire,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,851
E06000011,East Riding of Yorkshire,13,"White: English, Welsh, Scottish, Northern Irish or British",323838
E06000011,East Riding of Yorkshire,14,White: Irish,1063
E06000011,East Riding of Yorkshire,15,White: Gypsy or Irish Traveller,324
E06000011,East Riding of Yorkshire,16,White: Roma,118
E06000011,East Riding of Yorkshire,17,White: Other White,7819
E06000011,East Riding of Yorkshire,18,Other ethnic group: Arab,368
E06000011,East Riding of Yorkshire,19,Other ethnic group: Any other ethnic group,908
E06000012,North East Lincolnshire,-8,Does not apply,0
E06000012,North East Lincolnshire,1,"Asian, Asian British or Asian Welsh: Bangladeshi",318
E06000012,North East Lincolnshire,2,"Asian, Asian British or Asian Welsh: Chinese",438
E06000012,North East Lincolnshire,3,"Asian, Asian British or Asian Welsh: Indian",543
E06000012,North East Lincolnshire,4,"Asian, Asian British or Asian Welsh: Pakistani",336
E06000012,North East Lincolnshire,5,"Asian, Asian British or Asian Welsh: Other Asian",802
E06000012,North East Lincolnshire,6,"Black, Black British, Black Welsh, Caribbean or African: African",644
E06000012,North East Lincolnshire,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",98
E06000012,North East Lincolnshire,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",104
E06000012,North East Lincolnshire,9,Mixed or Multiple ethnic groups: White and Asian,502
E06000012,North East Lincolnshire,10,Mixed or Multiple ethnic groups: White and Black African,306
E06000012,North East Lincolnshire,11,Mixed or Multiple ethnic groups: White and Black Caribbean,377
E06000012,North East Lincolnshire,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,432
E06000012,North East Lincolnshire,13,"White: English, Welsh, Scottish, Northern Irish or British",145362
E06000012,North East Lincolnshire,14,White: Irish,320
E06000012,North East Lincolnshire,15,White: Gypsy or Irish Traveller,65
E06000012,North East Lincolnshire,16,White: Roma,127
E06000012,North East Lincolnshire,17,White: Other White,5156
E06000012,North East Lincolnshire,18,Other ethnic group: Arab,366
E06000012,North East Lincolnshire,19,Other ethnic group: Any other ethnic group,671
E06000013,North Lincolnshire,-8,Does not apply,0
E06000013,North Lincolnshire,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1840
E06000013,North Lincolnshire,2,"Asian, Asian British or Asian Welsh: Chinese",451
E06000013,North Lincolnshire,3,"Asian, Asian British or Asian Welsh: Indian",1126
E06000013,North Lincolnshire,4,"Asian, Asian British or Asian Welsh: Pakistani",1013
E06000013,North Lincolnshire,5,"Asian, Asian British or Asian Welsh: Other Asian",1192
E06000013,North Lincolnshire,6,"Black, Black British, Black Welsh, Caribbean or African: African",663
E06000013,North Lincolnshire,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",85
E06000013,North Lincolnshire,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",70
E06000013,North Lincolnshire,9,Mixed or Multiple ethnic groups: White and Asian,717
E06000013,North Lincolnshire,10,Mixed or Multiple ethnic groups: White and Black African,289
E06000013,North Lincolnshire,11,Mixed or Multiple ethnic groups: White and Black Caribbean,356
E06000013,North Lincolnshire,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,458
E06000013,North Lincolnshire,13,"White: English, Welsh, Scottish, Northern Irish or British",150554
E06000013,North Lincolnshire,14,White: Irish,556
E06000013,North Lincolnshire,15,White: Gypsy or Irish Traveller,168
E06000013,North Lincolnshire,16,White: Roma,226
E06000013,North Lincolnshire,17,White: Other White,8548
E06000013,North Lincolnshire,18,Other ethnic group: Arab,224
E06000013,North Lincolnshire,19,Other ethnic group: Any other ethnic group,1148
E06000014,York,-8,Does not apply,0
E06000014,York,1,"Asian, Asian British or Asian Welsh: Bangladeshi",413
E06000014,York,2,"Asian, Asian British or Asian Welsh: Chinese",2889
E06000014,York,3,"Asian, Asian British or Asian Welsh: Indian",1853
