time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,inpost_fte,inpost_headcount,starters_fte,starters_headcount,leavers_fte,leavers_headcount,turnover_rate_fte,turnover_rate_headcount,agency_fte,agency_headcount,agency_rate_fte,agency_rate_headcount,agency_cover_fte,agency_cover_rate_fte,vacancy_fte,vacancy_rate_fte,vacancy_agency_cover_rate_fte,case_holders_fte,cases,caseload_fte,working_days_lost_fte,absence_rate_fte
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,119.8,125,9.9,11,15.5,17,12.9,13.6,32,32,21.1,20.4,32,100,36,23.1,88.9,74.4,1077,14.5,794,2.6
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,101,105,22,22,26.1,28,25.8,26.7,36,36,26.3,25.5,36,100,41,28.9,87.8,98.7,1459,14.8,785.5,3.1
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,390.8,461,36.5,48,44.9,54,11.5,11.7,24,24,5.8,4.9,22,91.7,37.5,8.8,58.7,205.1,3195,15.6,2763.5,2.8
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,124.1,126,12,12,25.9,28,20.9,22.2,45,45,26.6,26.3,45,100,52,29.5,86.5,78.4,1148,14.6,941,3
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,63.3,65,23.1,24,14.7,16,23.3,24.6,11,11,14.8,14.5,11,100,15,19.2,73.3,40.6,661,16.3,310.5,1.9
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,253.2,280,41.2,42,23.2,25,9.2,8.9,0,0,0,0,0,z,0,0,z,121.8,1503,12.3,2479.9,3.9
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,229.8,239,61,62,56.6,58,24.6,24.3,112.2,113,32.8,32.1,76.6,68.3,77,25.1,99.5,183.5,3306,18,2468,4.2
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,368.2,408,56.9,63,29.9,34,8.1,8.3,12,12,3.2,2.9,12,100,15,3.9,80,265.8,3687,13.9,2893,3.1
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,538.9,573,121.7,125,111,117,20.6,20.4,148.3,151,21.6,20.9,68,45.8,68,11.2,100,415.9,7369,17.7,3606.2,2.6
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,67.5,69,10,10,5,6,7.4,8.7,10,10,12.9,12.7,10,100,25.5,27.4,39.2,54.5,1098,20.1,499.1,2.9
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,728.2,781,122.6,127,141.4,160,19.4,20.5,121,121,14.2,13.4,86.2,71.2,138.3,16,62.3,533.7,9988,18.7,2218,1.2
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,188.2,196,38,38,46.6,48,24.8,24.5,88.2,89,31.9,31.2,66.2,75.1,77.9,29.3,84.9,136.3,2590,19,1941,4.1
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,163.8,173,33.2,34,24.3,25,14.8,14.5,31,31,15.9,15.2,31,100,44.6,21.4,69.5,121.9,1912,15.7,1092.7,2.6
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,388.6,440,44.9,51,67.6,76,17.4,17.3,65,65,14.3,12.9,65,100,65,14.3,100,217.8,3074,14.1,3633.2,3.7
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,150.4,161,26.4,27,28.4,31,18.9,19.3,25,25,14.3,13.4,25,100,34,18.4,73.5,87.9,1235,14,642,1.7
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,125.5,127,33,33,19.8,20,15.8,15.7,26,26,17.2,17,17,65.4,20,13.7,85,83.8,1732,20.7,1181.4,3.7
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,113,114,36,36,16.6,17,14.7,14.9,38.2,39,25.3,25.5,38,99.5,47.6,29.6,79.8,85,1498,17.6,433.5,1.5
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,225,239,40,40,37.6,41,16.7,17.2,14,14,5.9,5.5,14,100,40,15.1,35,81.9,1313,16,1339,2.4
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,474.5,522,73.2,77,65.6,71,13.8,13.6,196.9,201,29.3,27.8,147.5,74.9,258,35.2,57.2,289.3,4308,14.9,3096,2.6
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,78.6,81,22.4,23,16.2,17,20.6,21,28,28,26.3,25.7,28,100,35.6,31.2,78.7,81,1174,14.5,372.5,1.9
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,476,516,66.2,67,73.6,79,15.5,15.3,24.5,26,4.9,4.8,24.5,100,24.5,4.9,100,217.6,3460,15.9,6604,5.5
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,60.3,61,8.8,9,7,7,11.6,11.5,25,25,29.3,29.1,25,100,25,29.3,100,45.8,770,16.8,151,1
2023,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,92.7,97,18.8,19,12,12,12.9,12.4,21.6,22,18.9,18.5,18,83.3,18,16.3,100,66.5,956,14.4,845.9,3.6
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,112.5,123,24.5,25,14.6,16,13,13,11.2,13,9.1,9.6,9,80.4,9.5,7.8,94.7,83.2,1153,13.9,34,0.1
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",198,220,49.2,51,30.8,36,15.5,16.4,114.9,116,36.7,34.5,83,72.2,83,29.5,100,161.5,2562,15.9,1332.3,2.7
2023,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",277.2,321,49,52,54.3,65,19.6,20.2,14,14,4.8,4.2,14,100,44,13.7,31.8,187.1,3097,16.6,2568.5,3.7
